product_id,location_id,day_date,available_stock
SKU-1001,47,2026-04-12,123
SKU-1001,101,2026-04-12,13
SKU-1001,102,2026-04-12,10
SKU-1001,103,2026-04-12,12
SKU-1001,104,2026-04-12,11
SKU-1001,105,2026-04-12,7
SKU-1001,106,2026-04-12,7
SKU-1002,47,2026-04-12,184
SKU-1002,101,2026-04-12,7
SKU-1002,102,2026-04-12,4
SKU-1002,103,2026-04-12,9
SKU-1002,104,2026-04-12,4
SKU-1002,105,2026-04-12,17
SKU-1002,106,2026-04-12,16
SKU-1003,47,2026-04-12,67
SKU-1003,101,2026-04-12,2
SKU-1003,102,2026-04-12,6
SKU-1003,103,2026-04-12,14
SKU-1003,104,2026-04-12,4
SKU-1003,105,2026-04-12,3
SKU-1003,106,2026-04-12,14
SKU-1004,47,2026-04-12,122
SKU-1004,101,2026-04-12,10
SKU-1004,102,2026-04-12,12
SKU-1004,103,2026-04-12,1
SKU-1004,104,2026-04-12,5
SKU-1004,105,2026-04-12,9
SKU-1004,106,2026-04-12,12
SKU-1005,47,2026-04-12,66
SKU-1005,101,2026-04-12,5
SKU-1005,102,2026-04-12,13
SKU-1005,103,2026-04-12,10
SKU-1005,104,2026-04-12,12
SKU-1005,105,2026-04-12,3
SKU-1005,106,2026-04-12,15
SKU-1006,47,2026-04-12,156
SKU-1006,101,2026-04-12,23
SKU-1006,102,2026-04-12,13
SKU-1006,103,2026-04-12,14
SKU-1006,104,2026-04-12,3
SKU-1006,105,2026-04-12,10
SKU-1006,106,2026-04-12,7
SKU-1007,47,2026-04-12,52
SKU-1007,101,2026-04-12,27
SKU-1007,102,2026-04-12,6
SKU-1007,103,2026-04-12,3
SKU-1007,104,2026-04-12,15
SKU-1007,105,2026-04-12,6
SKU-1007,106,2026-04-12,13
SKU-1008,47,2026-04-12,120
SKU-1008,101,2026-04-12,26
SKU-1008,102,2026-04-12,10
SKU-1008,103,2026-04-12,5
SKU-1008,104,2026-04-12,9
SKU-1008,105,2026-04-12,15
SKU-1008,106,2026-04-12,12
SKU-1009,47,2026-04-12,99
SKU-1009,101,2026-04-12,23
SKU-1009,102,2026-04-12,12
SKU-1009,103,2026-04-12,7
SKU-1009,104,2026-04-12,4
SKU-1009,105,2026-04-12,7
SKU-1009,106,2026-04-12,2
SKU-1010,47,2026-04-12,84
SKU-1010,101,2026-04-12,25
SKU-1010,102,2026-04-12,5
SKU-1010,103,2026-04-12,6
SKU-1010,104,2026-04-12,15
SKU-1010,105,2026-04-12,5
SKU-1010,106,2026-04-12,11
SKU-1011,47,2026-04-12,106
SKU-1011,101,2026-04-12,24
SKU-1011,102,2026-04-12,1
SKU-1011,103,2026-04-12,17
SKU-1011,104,2026-04-12,5
SKU-1011,105,2026-04-12,13
SKU-1011,106,2026-04-12,11
SKU-1012,47,2026-04-12,105
SKU-1012,101,2026-04-12,13
SKU-1012,102,2026-04-12,5
SKU-1012,103,2026-04-12,14
SKU-1012,104,2026-04-12,13
SKU-1012,105,2026-04-12,10
SKU-1012,106,2026-04-12,15
SKU-1013,47,2026-04-12,113
SKU-1013,101,2026-04-12,9
SKU-1013,102,2026-04-12,9
SKU-1013,103,2026-04-12,14
SKU-1013,104,2026-04-12,3
SKU-1013,105,2026-04-12,5
SKU-1013,106,2026-04-12,14
SKU-1014,47,2026-04-12,200
SKU-1014,101,2026-04-12,13
SKU-1014,102,2026-04-12,5
SKU-1014,103,2026-04-12,4
SKU-1014,104,2026-04-12,3
SKU-1014,105,2026-04-12,12
